2024-11-21 10:11:59 - root - INFO - 123
2024-11-21 10:12:22 - root - INFO - 123
2024-11-21 10:13:12 - root - WARNING - This is a warning message
2024-11-21 10:14:45 - root - ERROR - This is an error message
2024-11-21 10:14:51 - root - CRITICAL - This is a critical message
2024-11-21 10:18:51 - INFO - 123
2024-11-21 11:08:59 - INFO - Kivy application started
2024-11-21 11:09:02 - INFO - Button was clicked!
2024-11-21 11:09:03 - INFO - Button was clicked!
2024-11-21 11:09:04 - INFO - Button was clicked!
2024-11-21 11:09:04 - INFO - Button was clicked!
2024-11-21 11:09:04 - INFO - Button was clicked!
2024-11-21 11:09:05 - INFO - Button was clicked!
2024-11-21 11:09:08 - INFO - Button was clicked!
2024-11-21 11:09:09 - INFO - Button was clicked!
2024-11-21 11:09:10 - INFO - Button was clicked!
2024-11-21 11:09:10 - INFO - Button was clicked!
2024-11-21 11:09:11 - INFO - Button was clicked!
2024-11-21 11:09:11 - INFO - Button was clicked!
2024-11-21 11:09:11 - INFO - Button was clicked!
2024-11-21 11:09:12 - INFO - Button was clicked!
2024-11-21 11:09:17 - INFO - Button was clicked!
2024-11-21 11:09:18 - INFO - Button was clicked!
2024-11-21 11:09:18 - INFO - Button was clicked!
2024-11-21 11:09:18 - INFO - Button was clicked!
2024-11-21 11:53:16 - ERROR - e
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112106\59M35S_1732143575.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\00M35S_1732143635.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\01M35S_1732143695.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\02M35S_1732143755.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\12M41S_1732144361.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\15M52S_1732144552.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\23M05S_1732144985.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\31M04S_1732145464.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\32M56S_1732145576.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\37M54S_1732145874.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\39M23S_1732145963.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\42M00S_1732146120.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\44M28S_1732146268.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\45M29S_1732146329.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\46M39S_1732146399.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\50M23S_1732146623.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112107\55M45S_1732146945.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112116\59M17S_1732179557.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112117\01M13S_1732179673.mp4, Status: Valid
2024-11-21 21:03:42 - INFO - Checking file: H:data\94f827b4b94e\2024112117\37M38S_1732181858.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112118\31M30S_1732185090.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112118\44M27S_1732185867.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112118\50M19S_1732186219.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112118\59M27S_1732186767.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\00M26S_1732186826.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\01M26S_1732186886.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\02M26S_1732186946.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\09M07S_1732187347.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\22M58S_1732188178.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\25M32S_1732188332.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\35M09S_1732188909.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\37M50S_1732189070.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\39M31S_1732189171.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\40M31S_1732189231.mp4, Status: Valid
2024-11-21 21:03:43 - INFO - Checking file: H:data\94f827b4b94e\2024112119\41M31S_1732189291.mp4, Status: Valid
