2024-11-22 19:23:17 - ERROR - Failed to speedup videos for H:data\94f827b4b94e\2024112100\29M49S_1732120189.mp4. Error: ffmpeg error (see stderr output for detail)
2024-11-22 19:23:43 - ERROR - Failed to speedup videos for H:data\94f827b4b94e\2024112100\32M32S_1732120352.mp4. Error: None
2024-11-22 20:18:59 - INFO - Checking file: H:data\94f827b4b94e\2024112102\26M54S_1732127214.mp4, Status: Valid
2024-11-22 20:19:00 - INFO - Checking file: H:data\94f827b4b94e\2024112102\27M51S_1732127271.mp4, Status: Valid
2024-11-22 20:19:01 - INFO - Checking file: H:data\94f827b4b94e\2024112102\28M54S_1732127334.mp4, Status: Valid
2024-11-22 20:19:02 - INFO - Checking file: H:data\94f827b4b94e\2024112102\31M26S_1732127486.mp4, Status: Valid
2024-11-22 20:19:04 - INFO - Checking file: H:data\94f827b4b94e\2024112102\35M21S_1732127721.mp4, Status: Valid
2024-11-22 20:19:05 - INFO - Checking file: H:data\94f827b4b94e\2024112102\39M49S_1732127989.mp4, Status: Valid
2024-11-22 20:19:06 - INFO - Checking file: H:data\94f827b4b94e\2024112102\41M34S_1732128094.mp4, Status: Valid
2024-11-22 20:19:07 - INFO - Checking file: H:data\94f827b4b94e\2024112102\44M04S_1732128244.mp4, Status: Valid
2024-11-22 20:19:08 - INFO - Checking file: H:data\94f827b4b94e\2024112102\50M47S_1732128647.mp4, Status: Valid
2024-11-22 20:19:09 - INFO - Checking file: H:data\94f827b4b94e\2024112102\55M14S_1732128914.mp4, Status: Valid
2024-11-22 20:19:10 - INFO - Checking file: H:data\94f827b4b94e\2024112102\57M42S_1732129062.mp4, Status: Valid
2024-11-22 20:19:11 - INFO - Checking file: H:data\94f827b4b94e\2024112103\01M41S_1732129301.mp4, Status: Valid
2024-11-22 20:19:12 - INFO - Checking file: H:data\94f827b4b94e\2024112103\02M39S_1732129359.mp4, Status: Valid
2024-11-22 20:19:13 - INFO - Checking file: H:data\94f827b4b94e\2024112103\05M34S_1732129534.mp4, Status: Valid
2024-11-22 20:19:14 - INFO - Checking file: H:data\94f827b4b94e\2024112103\09M46S_1732129786.mp4, Status: Valid
2024-11-22 20:19:16 - INFO - Checking file: H:data\94f827b4b94e\2024112103\11M38S_1732129898.mp4, Status: Valid
2024-11-22 20:19:17 - INFO - Checking file: H:data\94f827b4b94e\2024112103\16M49S_1732130209.mp4, Status: Valid
2024-11-22 20:19:18 - INFO - Checking file: H:data\94f827b4b94e\2024112103\18M46S_1732130326.mp4, Status: Valid
2024-11-22 20:19:19 - INFO - Checking file: H:data\94f827b4b94e\2024112103\22M22S_1732130542.mp4, Status: Valid
2024-11-22 20:19:20 - INFO - Checking file: H:data\94f827b4b94e\2024112104\15M58S_1732133758.mp4, Status: Valid
2024-11-22 20:19:21 - INFO - Checking file: H:data\94f827b4b94e\2024112104\17M39S_1732133859.mp4, Status: Valid
2024-11-22 20:19:22 - INFO - Checking file: H:data\94f827b4b94e\2024112104\18M37S_1732133917.mp4, Status: Valid
2024-11-22 20:19:23 - INFO - Checking file: H:data\94f827b4b94e\2024112104\22M21S_1732134141.mp4, Status: Valid
2024-11-22 20:19:24 - INFO - Checking file: H:data\94f827b4b94e\2024112104\23M33S_1732134213.mp4, Status: Valid
2024-11-22 20:19:25 - INFO - Checking file: H:data\94f827b4b94e\2024112104\26M45S_1732134405.mp4, Status: Valid
2024-11-22 20:19:26 - INFO - Checking file: H:data\94f827b4b94e\2024112104\31M28S_1732134688.mp4, Status: Valid
2024-11-22 20:19:28 - INFO - Checking file: H:data\94f827b4b94e\2024112104\37M57S_1732135077.mp4, Status: Valid
2024-11-22 20:19:29 - INFO - Checking file: H:data\94f827b4b94e\2024112104\41M12S_1732135272.mp4, Status: Valid
2024-11-22 20:19:30 - INFO - Checking file: H:data\94f827b4b94e\2024112104\42M34S_1732135354.mp4, Status: Valid
2024-11-22 20:19:31 - INFO - Checking file: H:data\94f827b4b94e\2024112104\45M04S_1732135504.mp4, Status: Valid
2024-11-22 20:19:32 - INFO - Checking file: H:data\94f827b4b94e\2024112104\46M39S_1732135599.mp4, Status: Valid
2024-11-22 20:19:33 - INFO - Checking file: H:data\94f827b4b94e\2024112104\47M46S_1732135666.mp4, Status: Valid
2024-11-22 20:19:36 - INFO - Processed 20241120, saved to H:data\94f827b4b94e\20241120.mkv, set timestamps, and deleted original files.
2024-11-22 20:19:36 - INFO - Checking file: H:data\94f827b4b94e\2024112105\32M54S_1732138374.mp4, Status: Valid
2024-11-22 20:19:37 - INFO - Checking file: H:data\94f827b4b94e\2024112105\36M11S_1732138571.mp4, Status: Valid
2024-11-22 20:19:39 - INFO - Checking file: H:data\94f827b4b94e\2024112105\43M56S_1732139036.mp4, Status: Valid
2024-11-22 20:19:40 - INFO - Checking file: H:data\94f827b4b94e\2024112105\44M54S_1732139094.mp4, Status: Valid
2024-11-22 20:19:41 - INFO - Checking file: H:data\94f827b4b94e\2024112105\46M08S_1732139168.mp4, Status: Valid
2024-11-22 20:19:42 - INFO - Checking file: H:data\94f827b4b94e\2024112105\47M21S_1732139241.mp4, Status: Valid
2024-11-22 20:19:43 - INFO - Checking file: H:data\94f827b4b94e\2024112105\48M41S_1732139321.mp4, Status: Valid
2024-11-22 20:19:44 - INFO - Checking file: H:data\94f827b4b94e\2024112105\50M55S_1732139455.mp4, Status: Valid
2024-11-22 20:19:45 - INFO - Checking file: H:data\94f827b4b94e\2024112105\51M57S_1732139517.mp4, Status: Valid
2024-11-22 20:19:46 - INFO - Checking file: H:data\94f827b4b94e\2024112105\55M15S_1732139715.mp4, Status: Valid
2024-11-22 20:19:48 - INFO - Checking file: H:data\94f827b4b94e\2024112105\56M48S_1732139808.mp4, Status: Valid
2024-11-22 20:19:49 - INFO - Checking file: H:data\94f827b4b94e\2024112105\59M48S_1732139988.mp4, Status: Valid
2024-11-22 20:19:50 - INFO - Checking file: H:data\94f827b4b94e\2024112106\00M56S_1732140056.mp4, Status: Valid
2024-11-22 20:19:51 - INFO - Checking file: H:data\94f827b4b94e\2024112106\03M37S_1732140217.mp4, Status: Valid
2024-11-22 20:19:53 - INFO - Checking file: H:data\94f827b4b94e\2024112106\04M36S_1732140276.mp4, Status: Valid
2024-11-22 20:19:54 - INFO - Checking file: H:data\94f827b4b94e\2024112106\05M47S_1732140347.mp4, Status: Valid
2024-11-22 20:19:55 - INFO - Checking file: H:data\94f827b4b94e\2024112106\07M04S_1732140424.mp4, Status: Valid
2024-11-22 20:19:56 - INFO - Checking file: H:data\94f827b4b94e\2024112106\08M14S_1732140494.mp4, Status: Valid
2024-11-22 20:19:58 - INFO - Checking file: H:data\94f827b4b94e\2024112106\18M23S_1732141103.mp4, Status: Valid
2024-11-22 20:19:59 - INFO - Checking file: H:data\94f827b4b94e\2024112106\51M10S_1732143070.mp4, Status: Valid
2024-11-22 20:20:00 - INFO - Checking file: H:data\94f827b4b94e\2024112106\54M35S_1732143275.mp4, Status: Valid
2024-11-22 20:20:01 - INFO - Checking file: H:data\94f827b4b94e\2024112106\55M35S_1732143335.mp4, Status: Valid
2024-11-22 20:20:03 - INFO - Checking file: H:data\94f827b4b94e\2024112106\56M35S_1732143395.mp4, Status: Valid
2024-11-22 20:20:04 - INFO - Checking file: H:data\94f827b4b94e\2024112106\57M35S_1732143455.mp4, Status: Valid
2024-11-22 20:20:05 - INFO - Checking file: H:data\94f827b4b94e\2024112106\58M35S_1732143515.mp4, Status: Valid
2024-11-22 20:20:06 - INFO - Checking file: H:data\94f827b4b94e\2024112106\59M35S_1732143575.mp4, Status: Valid
2024-11-22 20:20:08 - INFO - Checking file: H:data\94f827b4b94e\2024112107\00M35S_1732143635.mp4, Status: Valid
2024-11-22 20:20:09 - INFO - Checking file: H:data\94f827b4b94e\2024112107\01M35S_1732143695.mp4, Status: Valid
2024-11-22 20:20:10 - INFO - Checking file: H:data\94f827b4b94e\2024112107\02M35S_1732143755.mp4, Status: Valid
2024-11-22 20:20:12 - INFO - Checking file: H:data\94f827b4b94e\2024112107\12M41S_1732144361.mp4, Status: Valid
2024-11-22 20:20:13 - INFO - Checking file: H:data\94f827b4b94e\2024112107\15M52S_1732144552.mp4, Status: Valid
2024-11-22 20:20:15 - INFO - Checking file: H:data\94f827b4b94e\2024112107\23M05S_1732144985.mp4, Status: Valid
2024-11-22 20:20:16 - INFO - Checking file: H:data\94f827b4b94e\2024112107\31M04S_1732145464.mp4, Status: Valid
2024-11-22 20:20:17 - INFO - Checking file: H:data\94f827b4b94e\2024112107\32M56S_1732145576.mp4, Status: Valid
2024-11-22 20:20:19 - INFO - Checking file: H:data\94f827b4b94e\2024112107\37M54S_1732145874.mp4, Status: Valid
2024-11-22 20:20:20 - INFO - Checking file: H:data\94f827b4b94e\2024112107\39M23S_1732145963.mp4, Status: Valid
2024-11-22 20:20:21 - INFO - Checking file: H:data\94f827b4b94e\2024112107\42M00S_1732146120.mp4, Status: Valid
2024-11-22 20:20:22 - INFO - Checking file: H:data\94f827b4b94e\2024112107\44M28S_1732146268.mp4, Status: Valid
